Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
MLT,181,Malta,Inflation,Headline Consumer Price Inflation,0.64,1.26,1.16,1.52,0.64,1.5,6.15,Annual average inflation
MMR,518,Myanmar,Inflation,Headline Consumer Price Inflation,6.76,4.62,6,8.63,6.11,5.03,16.75,Annual average inflation
MNE,943,Montenegro,Inflation,Headline Consumer Price Inflation,-0.27,2.37,2.6,0.37,-0.26,2.41,13.05,Annual average inflation
MNG,948,Mongolia,Inflation,Headline Consumer Price Inflation,0.72,4.62,6.83,7.26,3.69,7.1,15.15,Annual average inflation
MOZ,688,Mozambique,Inflation,Headline Consumer Price Inflation,17.45,15.11,3.92,2.79,3.63,5.69,10.28,Annual average inflation
MRT,682,Mauritania,Inflation,Headline Consumer Price Inflation,1.47,2.27,3.07,2.31,2.39,3.77,7.1,Annual average inflation
MUS,684,Mauritius,Inflation,Headline Consumer Price Inflation,0.95,3.68,3.21,0.45,2.58,4.03,10.77,Annual average inflation
MWI,676,Malawi,Inflation,Headline Consumer Price Inflation,21.73,11.54,9.22,9.38,8.63,9.34,18.45,Annual average inflation
MYS,548,Malaysia,Inflation,Headline Consumer Price Inflation,2.08,3.8,0.97,0.66,-1.14,2.48,3.38,Annual average inflation
NAM,728,Namibia,Inflation,Headline Consumer Price Inflation,6.68,6.15,4.28,3.72,2.21,3.62,6.08,Annual average inflation
NER,692,Niger,Inflation,Headline Consumer Price Inflation,0.18,0.2,3.01,-2.52,2.76,3.84,4.23,Annual average inflation
NGA,694,Nigeria,Inflation,Headline Consumer Price Inflation,15.69,16.5,12.1,11.4,13.25,16.95,18.85,Annual average inflation
NIC,278,Nicaragua,Inflation,Headline Consumer Price Inflation,3.52,3.85,4.94,5.38,3.68,4.93,10.47,Annual average inflation
NLD,138,Netherlands,Inflation,Headline Consumer Price Inflation,0.32,1.3,1.7,2.67,1.27,2.68,10,Annual average inflation
NOR,142,Norway,Inflation,Headline Consumer Price Inflation,3.55,1.88,2.76,2.17,1.29,3.48,5.8,Annual average inflation
NPL,558,Nepal,Inflation,Headline Consumer Price Inflation,9.93,4.45,4.15,4.64,5.05,3.6,6.26,Annual average inflation
NRU,836,Nauru,Inflation,Headline Consumer Price Inflation,8.15,5.08,0.46,4.3,0.89,1.2,2,Annual average inflation
NZL,196,New Zealand,Inflation,Headline Consumer Price Inflation,0.65,1.85,1.6,1.62,1.71,3.94,6.28,Annual average inflation
OMN,449,Oman,Inflation,Headline Consumer Price Inflation,1.11,1.6,0.88,0.13,-0.9,1.55,2.81,Annual average inflation
PAK,564,Pakistan,Inflation,Headline Consumer Price Inflation,3.75,4.15,5.07,6.74,9.74,9.5,19.87,Annual average inflation
PAN,283,Panama,Inflation,Headline Consumer Price Inflation,0.76,0.88,0.77,-0.35,-1.55,1.63,2.86,Annual average inflation
PER,293,Peru,Inflation,Headline Consumer Price Inflation,3.59,2.8,1.32,2.14,1.83,4.27,7.88,Annual average inflation
PHL,566,Philippines,Inflation,Headline Consumer Price Inflation,1.81,2.85,5.26,2.48,2.64,3.93,5.82,Annual average inflation
PLW,565,Palau,Inflation,Headline Consumer Price Inflation,-1.03,0.9,1.57,0.61,0.22,0.45,12.2,Annual average inflation
PNG,853,Papua New Guinea,Inflation,Headline Consumer Price Inflation,6.69,5.43,4.73,3.68,3.37,4.49,6.6,Annual average inflation
